sheet,ref,pin_number,pin_name,net_label,label_kind
atu-module,J_ATU_IN,CENTER,CENTER,ATU_L_IN,local
atu-module,T1,SEC+,SEC+,DET_FWD,local
atu-module,T2,SEC+,SEC+,DET_REV,local
atu-module,R_sense_F,1,1,DET_FWD,local
atu-module,R_sense_F,2,2,GND,global
atu-module,R_sense_R,1,1,DET_REV,local
atu-module,R_sense_R,2,2,GND,global
atu-module,D1,A,A,DET_FWD,local
atu-module,D1,K,K,ADC_FWD,global
atu-module,D3,A,A,DET_FWD,local
atu-module,D3,K,K,ADC_FWD,global
atu-module,D2,A,A,DET_REV,local
atu-module,D2,K,K,ADC_REV,global
atu-module,D4,A,A,DET_REV,local
atu-module,D4,K,K,ADC_REV,global
atu-module,U3,3,IN1+,ADC_FWD,global
atu-module,U3,8,V+,+5V,global
atu-module,L1,1,1,ATU_L_IN,local
atu-module,L1,2,2,ATU_L1_LO,local
atu-module,L2,1,1,ATU_L1_LO,local
atu-module,L2,2,2,ATU_L2_LO,local
atu-module,L3,1,1,ATU_L2_LO,local
atu-module,L3,2,2,ATU_L3_LO,global
atu-module,K1,COIL+,COIL+,RELAY_K1_COIL,local
atu-module,K1,COIL-,COIL-,+12V,global
atu-module,K1,COM,COM,ATU_L_IN,local
atu-module,K1,NO,NO,ATU_K1_NO_NC,local
atu-module,K1,NC,NC,ATU_L1_LO,local
atu-module,K2,COIL+,COIL+,RELAY_K2_COIL,local
atu-module,K2,COIL-,COIL-,+12V,global
atu-module,K2,COM,COM,ATU_L1_LO,local
atu-module,K2,NO,NO,ATU_K2_NO_NC,local
atu-module,K2,NC,NC,ATU_L2_LO,local
atu-module,K3,COIL+,COIL+,RELAY_K3_COIL,local
atu-module,K3,COIL-,COIL-,+12V,global
atu-module,K3,COM,COM,ATU_L2_LO,local
atu-module,K3,NO,NO,ATU_K3_NO_NC,local
atu-module,K3,NC,NC,ATU_L3_LO,global
atu-module,K4,COIL+,COIL+,RELAY_K4_COIL,local
atu-module,K4,COIL-,COIL-,+12V,global
atu-module,K4,COM,COM,ATU_L3_LO,global
atu-module,K4,NO,NO,ATU_C3,local
atu-module,K4,NC,NC,ATU_K4_NC_NC,local
atu-module,K5,COIL+,COIL+,RELAY_K5_COIL,local
atu-module,K5,COIL-,COIL-,+12V,global
atu-module,K5,COM,COM,ATU_L3_LO,global
atu-module,K5,NO,NO,ATU_C4,local
atu-module,K5,NC,NC,ATU_K5_NC_NC,local
atu-module,K6,COIL+,COIL+,RELAY_K6_COIL,local
atu-module,K6,COIL-,COIL-,+12V,global
atu-module,K6,COM,COM,ATU_L3_LO,global
atu-module,K6,NO,NO,ATU_C5,local
atu-module,K6,NC,NC,ATU_K6_NC_NC,local
atu-module,C3,1,1,ATU_C3,local
atu-module,C3,2,2,GND,global
atu-module,C4,1,1,ATU_C4,local
atu-module,C4,2,2,GND,global
atu-module,C5,1,1,ATU_C5,local
atu-module,C5,2,2,GND,global
atu-module,U2,1,IN1,IOEXP_RELAY_K1,global
atu-module,U2,2,IN2,IOEXP_RELAY_K2,global
atu-module,U2,3,IN3,IOEXP_RELAY_K3,global
atu-module,U2,4,IN4,IOEXP_RELAY_K4,global
atu-module,U2,5,IN5,IOEXP_RELAY_K5,global
atu-module,U2,6,IN6,IOEXP_RELAY_K6,global
atu-module,U2,8,GND,GND,global
atu-module,U2,9,COM,+12V,global
atu-module,U2,11,OUT6,RELAY_K6_COIL,local
atu-module,U2,12,OUT5,RELAY_K5_COIL,local
atu-module,U2,13,OUT4,RELAY_K4_COIL,local
atu-module,U2,14,OUT3,RELAY_K3_COIL,local
atu-module,U2,15,OUT2,RELAY_K2_COIL,local
atu-module,U2,16,OUT1,RELAY_K1_COIL,local
atu-module,R_RLY1,1,1,IOEXP_RELAY_K1,global
atu-module,R_RLY1,2,2,GND,global
atu-module,R_RLY2,1,1,IOEXP_RELAY_K2,global
atu-module,R_RLY2,2,2,GND,global
atu-module,R_RLY3,1,1,IOEXP_RELAY_K3,global
atu-module,R_RLY3,2,2,GND,global
atu-module,R_RLY4,1,1,IOEXP_RELAY_K4,global
atu-module,R_RLY4,2,2,GND,global
atu-module,R_RLY5,1,1,IOEXP_RELAY_K5,global
atu-module,R_RLY5,2,2,GND,global
atu-module,R_RLY6,1,1,IOEXP_RELAY_K6,global
atu-module,R_RLY6,2,2,GND,global
pa-module,U8,2,1A1,RF_SRC_CLK,global
pa-module,U8,3,1Y1,PA_GATE,local
pa-module,U8,10,GND,GND,global
pa-module,U8,20,VCC,+5V,global
pa-module,R8,1,1,RF_SRC_CLK,global
pa-module,R8,2,2,GND,global
pa-module,R10,1,1,PA_GATE,local
pa-module,R10,2,2,GND,global
pa-module,R1,1,1,+5V,global
pa-module,R1,2,2,PA_BIAS,local
pa-module,R2,1,1,PA_BIAS,local
pa-module,R2,2,2,GND,global
pa-module,Q1,1,D,PA_DRAIN,local
pa-module,Q1,2,G,PA_GATE,local
pa-module,Q1,3,S,GND,global
pa-module,Q2,1,D,PA_DRAIN,local
pa-module,Q2,2,G,PA_GATE,local
pa-module,Q2,3,S,GND,global
pa-module,Q3,1,D,PA_DRAIN,local
pa-module,Q3,2,G,PA_GATE,local
pa-module,Q3,3,S,GND,global
pa-module,D5,1,A,GND,global
pa-module,C6,1,1,PA_DRAIN,local
pa-module,C244,1,1,+5V,global
pa-module,J_PA_OUT,CENTER,CENTER,PA_RF_OUT,local
mcu-ui,U4,3V3,3V3,+3V3_DIG,global
mcu-ui,U4,GPIO0,GPIO0,ADC_FWD,global
mcu-ui,U4,GPIO1,GPIO1,ADC_REV,global
mcu-ui,U4,GPIO2,GPIO2,EC11_A,local
mcu-ui,U4,GPIO3,GPIO3,ADC_VBAT,local
mcu-ui,U4,GPIO4,GPIO4,I2C_SDA,local
mcu-ui,U4,GPIO5,GPIO5,I2C_SCL,local
mcu-ui,U4,GPIO6,GPIO6,LCD_SCK,local
mcu-ui,U4,GPIO7,GPIO7,LCD_MOSI,local
mcu-ui,U4,GPIO8,GPIO8,EC11_B,local
mcu-ui,U4,GPIO9,GPIO9,KEY_USER,local
mcu-ui,U4,GPIO10,GPIO10,LCD_DC,local
mcu-ui,U4,GPIO11,GPIO11,VDD_SPI_NC,local
mcu-ui,U4,GPIO12,GPIO12,PA_PWR_PWM,global
mcu-ui,U4,GPIO13,GPIO13,EC11_SW,local
mcu-ui,U4,GPIO18,GPIO18,USB_DM,local
mcu-ui,U4,GPIO19,GPIO19,USB_DP,local
mcu-ui,U4,GPIO20,GPIO20,UART0_TX,local
mcu-ui,U4,GPIO21,GPIO21,UART0_RX,local
mcu-ui,U7,CLK0,CLK0,RF_SRC_CLK,global
mcu-ui,U7,SDA,SDA,I2C_SDA,local
mcu-ui,U7,SCL,SCL,I2C_SCL,local
mcu-ui,U7,VDD,VDD,+3V3_RF,global
mcu-ui,U1,1,INT,TCA9535_INT,local
mcu-ui,U1,4,P0.0,IOEXP_RELAY_K1,global
mcu-ui,U1,5,P0.1,IOEXP_RELAY_K2,global
mcu-ui,U1,6,P0.2,IOEXP_RELAY_K3,global
mcu-ui,U1,7,P0.3,IOEXP_RELAY_K4,global
mcu-ui,U1,8,P0.4,IOEXP_RELAY_K5,global
mcu-ui,U1,9,P0.5,IOEXP_RELAY_K6,global
mcu-ui,U1,10,P0.6,IOEXP_SPARE_P0_6,local
mcu-ui,U1,11,P0.7,IOEXP_SPARE_P0_7,local
mcu-ui,U1,13,P1.0,IOEXP_SPARE_P1_0,local
mcu-ui,U1,14,P1.1,IOEXP_LCD_BL,local
