row,net,net_label,src,dst,status,pins,detail
1,ADC_FWD,ADC_FWD,U4.GPIO0,T1.1 (次级),PARTIAL,U4.GPIO0,row pin token '1 (??)' is not a pin of T1 (XFMR) - see netlist.csv row
2,ADC_REV,ADC_REV,U4.GPIO1,T2.1 (次级),PARTIAL,U4.GPIO1,row pin token '1 (??)' is not a pin of T2 (XFMR) - see netlist.csv row
3,ADC_VBAT,ADC_VBAT,U4.GPIO3,R_VBAT3.2,DRAWN,U4.GPIO3;R_VBAT3.2,
4,EC11_A,EC11_A,U4.GPIO2,U6.A,DRAWN,U4.GPIO2;U6.A,
5,EC11_B,EC11_B,U4.GPIO8,U6.B,DRAWN,U4.GPIO8;U6.B,
6,EC11_SW,EC11_SW,U4.GPIO13,U6.SW,DRAWN,U4.GPIO13;U6.SW1,
7,KEY_USER,KEY_USER,U4.GPIO9,SW2.1,DRAWN,U4.GPIO9;SW2.1,
8,I2C_SDA,I2C_SDA,U4.GPIO4,R6.1,DRAWN,U4.GPIO4;R6.1,
9,I2C_SCL,I2C_SCL,U4.GPIO5,R7.1,DRAWN,U4.GPIO5;R7.1,
10,PA_PWR_PWM,PA_PWR_PWM,U4.GPIO12,U11.FB,DRAWN,U4.GPIO12;U11.FB,
11,VDD_SPI_NC,VDD_SPI_NC,U4.GPIO11,-.NC,DRAWN,U4.GPIO11,
12,USB_DM,USB_DM,U4.GPIO18,J_USB.D-,DRAWN,U4.GPIO18;J_USB.D-,
13,USB_DP,USB_DP,U4.GPIO19,J_USB.D+,DRAWN,U4.GPIO19;J_USB.D+,
14,UART0_TX,UART0_TX,U4.GPIO20,J_UART.TX,DRAWN,U4.GPIO20;J_UART.TX,
15,UART0_RX,UART0_RX,U4.GPIO21,J_UART.RX,DRAWN,U4.GPIO21;J_UART.RX,
16,EC11_A,EC11_A,R3.2,+3V3_DIG.-,PARTIAL,R3.2,"netlist.csv declares net EC11_A but the other end is net name +3V3_DIG, so the pin was placed on +3V3_DIG"
17,EC11_B,EC11_B,R4.2,+3V3_DIG.-,PARTIAL,R4.2,"netlist.csv declares net EC11_B but the other end is net name +3V3_DIG, so the pin was placed on +3V3_DIG"
18,EC11_SW,EC11_SW,R5.2,+3V3_DIG.-,PARTIAL,R5.2,"netlist.csv declares net EC11_SW but the other end is net name +3V3_DIG, so the pin was placed on +3V3_DIG"
19,GND,GND,U6.SW2 (另一端),GND.-,DRAWN,U6.SW2,
20,I2C_SDA,I2C_SDA,R6.2,+3V3_DIG.-,PARTIAL,R6.2,"netlist.csv declares net I2C_SDA but the other end is net name +3V3_DIG, so the pin was placed on +3V3_DIG"
21,I2C_SCL,I2C_SCL,R7.2,+3V3_DIG.-,PARTIAL,R7.2,"netlist.csv declares net I2C_SCL but the other end is net name +3V3_DIG, so the pin was placed on +3V3_DIG"
22,I2C_SDA,I2C_SDA,U7.SDA,U4.GPIO4,DRAWN,U7.SDA;U4.GPIO4,
23,I2C_SCL,I2C_SCL,U7.SCL,U4.GPIO5,DRAWN,U7.SCL;U4.GPIO5,
24,I2C_SDA,I2C_SDA,U1.SDA,U4.GPIO4,DRAWN,U1.23;U4.GPIO4,
25,I2C_SCL,I2C_SCL,U1.SCL,U4.GPIO5,DRAWN,U1.22;U4.GPIO5,
26,TCA9535_INT,TCA9535_INT,U1.INT,-.NC,DRAWN,U1.1,
27,IOEXP_RELAY_K1,IOEXP_RELAY_K1,U1.P0.0,U2.IN1,DRAWN,U1.4;U2.1,
28,IOEXP_RELAY_K2,IOEXP_RELAY_K2,U1.P0.1,U2.IN2,DRAWN,U1.5;U2.2,
29,IOEXP_RELAY_K3,IOEXP_RELAY_K3,U1.P0.2,U2.IN3,DRAWN,U1.6;U2.3,
30,IOEXP_RELAY_K4,IOEXP_RELAY_K4,U1.P0.3,U2.IN4,DRAWN,U1.7;U2.4,
31,IOEXP_RELAY_K5,IOEXP_RELAY_K5,U1.P0.4,U2.IN5,DRAWN,U1.8;U2.5,
32,IOEXP_RELAY_K6,IOEXP_RELAY_K6,U1.P0.5,U2.IN6,DRAWN,U1.9;U2.6,
33,IOEXP_LCD_BL,IOEXP_LCD_BL,U1.P1.1,R_BL.1,DRAWN,U1.14;R_BL.1,
34,IOEXP_SPARE_P1_0,IOEXP_SPARE_P1_0,U1.P1.0,-.NC,DRAWN,U1.13,
35,IOEXP_SPARE_P0_6,IOEXP_SPARE_P0_6,U1.P0.6,-.NC,DRAWN,U1.10,
36,IOEXP_SPARE_P0_7,IOEXP_SPARE_P0_7,U1.P0.7,-.NC,DRAWN,U1.11,
37,IOEXP_SPARE_P1_2,IOEXP_SPARE_P1_2,U1.P1.2,-.NC,DRAWN,U1.15,
38,IOEXP_SPARE_P1_3,IOEXP_SPARE_P1_3,U1.P1.3,-.NC,DRAWN,U1.16,
39,IOEXP_SPARE_P1_4,IOEXP_SPARE_P1_4,U1.P1.4,-.NC,DRAWN,U1.17,
40,IOEXP_SPARE_P1_5,IOEXP_SPARE_P1_5,U1.P1.5,-.NC,DRAWN,U1.18,
41,IOEXP_SPARE_P1_6,IOEXP_SPARE_P1_6,U1.P1.6,-.NC,DRAWN,U1.19,
